game_id,season,week,team,def_value_pre,def_value_post
2017_05_ARI_PHI,2017,5,ARI,-6.956,-8.705
2017_06_TB_ARI,2017,6,ARI,-8.705,-7.8
2017_07_ARI_LAR,2017,7,ARI,-7.8,-8.478
2017_09_ARI_SF,2017,9,ARI,-8.478,-7.478
2017_10_SEA_ARI,2017,10,ARI,-7.478,-7.569
2017_11_ARI_HOU,2017,11,ARI,-7.569,-9.688
2017_12_JAX_ARI,2017,12,ARI,-9.688,-10.653
2017_13_LAR_ARI,2017,13,ARI,-10.653,-11.544
2017_14_TEN_ARI,2017,14,ARI,-11.544,-9.436
2017_15_ARI_WAS,2017,15,ARI,-9.436,-9.232
2017_16_NYG_ARI,2017,16,ARI,-9.232,-8.65
2017_17_ARI_SEA,2017,17,ARI,-8.65,-8.428
2018_01_WAS_ARI,2018,1,ARI,-5.402,-6.438
2018_02_ARI_LAR,2018,2,ARI,-6.438,-7.047
2018_03_CHI_ARI,2018,3,ARI,-7.047,-7.082
2018_04_SEA_ARI,2018,4,ARI,-7.082,-7.477
2018_05_ARI_SF,2018,5,ARI,-7.477,-8.348
2018_06_ARI_MIN,2018,6,ARI,-8.348,-8.161
2018_07_DEN_ARI,2018,7,ARI,-8.161,-7.617
2018_08_SF_ARI,2018,8,ARI,-7.617,-7.476
2018_10_ARI_KC,2018,10,ARI,-7.476,-6.611
2018_11_OAK_ARI,2018,11,ARI,-6.611,-6.79
2018_12_ARI_LAC,2018,12,ARI,-6.79,-7.774
2018_13_ARI_GB,2018,13,ARI,-7.774,-7.713
2018_14_DET_ARI,2018,14,ARI,-7.713,-6.979
2018_15_ARI_ATL,2018,15,ARI,-6.979,-7.617
2018_16_LAR_ARI,2018,16,ARI,-7.617,-9.028
2018_17_ARI_SEA,2018,17,ARI,-9.028,-5.538
2019_01_DET_ARI,2019,1,ARI,-3.55,-5.696
2019_02_ARI_BAL,2019,2,ARI,-5.696,-8.28
2019_03_CAR_ARI,2019,3,ARI,-8.28,-11.318
2019_04_SEA_ARI,2019,4,ARI,-11.318,-11.223
2019_05_ARI_CIN,2019,5,ARI,-11.223,-12.461
2019_06_ATL_ARI,2019,6,ARI,-12.461,-14.886
2019_07_ARI_NYG,2019,7,ARI,-14.886,-12.825
2019_08_ARI_NO,2019,8,ARI,-12.825,-14.963
2019_09_SF_ARI,2019,9,ARI,-14.963,-18.303
2019_10_ARI_TB,2019,10,ARI,-18.303,-17.765
2019_11_ARI_SF,2019,11,ARI,-17.765,-19.772
2019_13_LAR_ARI,2019,13,ARI,-19.772,-22.94
2019_14_PIT_ARI,2019,14,ARI,-22.94,-23.834
2019_15_CLE_ARI,2019,15,ARI,-23.834,-24.979
2019_16_ARI_SEA,2019,16,ARI,-24.979,-21.63
2019_17_ARI_LAR,2019,17,ARI,-21.63,-22.381
2020_01_ARI_SF,2020,1,ARI,-14.346,-14.119
2020_02_WAS_ARI,2020,2,ARI,-14.119,-14.318
2020_03_DET_ARI,2020,3,ARI,-14.318,-14.466
